host_SM,host_Z
60816100000.0,-0.40600538
8247590.0,-2.4973264
167880000.0,-1.0020398
20797300.0,-1.3830991
16967300.0,-1.6974759
2624640.0,-96.006065
9270630.0,-2.0256653
894283.0,-5.677562
69938.0,-12.344819
3328.92,-226.15936
2470160.0,-2.3803198
823654.0,-2.6181505
313588.0,-3.6782706
11685.8,-6.4935946
309982.0,-5.514847
213261.0,-7.460309
688857.0,-2.8012605
11742.3,-6.6271534
29986.3,-4.724396
