sat_HM,sat_SM
805985000000.0,69154400000.0
38514800000.0,564309000.0
88131300000.0,155334000.0
8284870000.0,23650100.0
6237970000.0,16782200.0
21459700000.0,3828240.0
1754500000.0,116600.0
1708200000.0,2262350.0
18604800000.0,15939.7
14154000000.0,1758140.0
1031280000.0,52283800.0
1408440000.0,583547.0
4825150000.0,480568.0
1066690000.0,3243820.0
6230850000.0,2761710.0
992553000.0,977249.0
4822800000.0,924350.0
841806000.0,4075060.0
6709520000.0,643028.0
2912310000.0,110000.0
568066000.0,309906.0
554449000.0,423295.0
521804000.0,4602110.0
514950000.0,46643.9
482724000.0,19989.6
434027000.0,9988.24
377060000.0,1840600.0
7561090000.0,158671.0
745069000.0,9986.75
259587000.0,9986.76
238209000.0,1553430.0
1102780000.0,906777.0
189954000.0,3328.92
114836000.0,399977.0
85878900.0,23310.0
38587000.0,930029.0
21527400.0,386638.0
18307100.0,9986.85
15757000.0,159948.0
16009200.0,9986.76
5900170.0,4119300.0
3374020.0,13331.0
