sat_SM,sat_Z
69154400000.0,-0.2588325
564309000.0,-1.3679165
155334000.0,-1.1181322
23650100.0,-2.4046876
16782200.0,-2.4099615
3828240.0,-1.9866471
116600.0,-7.918609
2262350.0,-3.0643039
15939.7,-3.9290671
1758140.0,-2.507788
52283800.0,-2.170481
583547.0,-5.5905023
480568.0,-3.2808108
3243820.0,-3.1829436
2761710.0,-2.4004507
924350.0,-2.8923397
4075060.0,-6.6864066
643028.0,-3.2443938
110000.0,-7.667854
309906.0,-12.4847555
423295.0,-5.685142
4602110.0,-2.8803494
46643.9,-9.150559
19989.6,-47.880684
9988.24,-4.4302273
1840600.0,-3.0188618
158671.0,-3.0566561
9986.75,-82.539375
9986.76,-56.0207
1553430.0,-3.1379447
906777.0,-3.2662964
3328.92,-126.42228
399977.0,-5.1141686
23310.0,-4.6411076
930029.0,-3.7183893
386638.0,-4.3889256
9986.85,-5.5294747
159948.0,-9.2737665
9986.76,-5.3396792
4119300.0,-8.390652
13331.0,-4.0399446
