host_HM,host_SM
778212000000.0,60816100000.0
232687000000.0,8247590.0
82059900000.0,167880000.0
506335000000.0,20797300.0
51077100000.0,16967300.0
1915090000.0,2624640.0
2423180000.0,9270630.0
1238950000.0,894283.0
1193320000.0,69938.0
1150310000.0,3328.92
8929380000.0,2470160.0
6372130000.0,823654.0
2814260000.0,313588.0
7106230000.0,11685.8
799006000.0,309982.0
636906000.0,213261.0
2906400000.0,688857.0
3231280000.0,11742.3
3060000000.0,29986.3
