sat_HM,sat_SM
525117000000.0,60943700000.0
16374500000.0,10444500.0
3476070000.0,18619200.0
30790300000.0,7441020.0
6448230000.0,2782810.0
5486170000.0,392110.0
12868000000.0,1572830.0
1015350000.0,74301.3
998332000.0,1010530.0
759377000.0,176591.0
9676090000.0,241629.0
488973000.0,6657.83
3628470000.0,88859.4
250303000.0,89945.8
178860000.0,743260.0
163375000.0,2090150.0
167134000.0,47771.4
133711000.0,29985.6
1955840000.0,197269.0
39937900.0,413876.0
26774000.0,3328.91
18551400.0,53273.7
11838800.0,33308.5
